date,dining_hall,meal,category,item_name,serving_size,dietary_tags
2026-01-10,Carrillo,Dinner,Uncategorized,Sticky Rice,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Chicken Pad Thai with Peanut,10 OZ,contains_nuts
2026-01-10,Carrillo,Dinner,Uncategorized,Vegetable Pad Thai w/Peanut,Cup,"vegan, contains_nuts"
2026-01-10,Carrillo,Dinner,Uncategorized,Potato Leek Soup,6 oz Ladle,vegetarian
2026-01-10,Carrillo,Dinner,Uncategorized,Lemon Baked Salmon,4 oz.,
2026-01-10,Carrillo,Dinner,Uncategorized,Carrots with Fresh Thyme,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Green Beans,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Italian Quinoa,1/2 Cup,vegetarian
2026-01-10,Carrillo,Dinner,Uncategorized,Rice Pilaf with Mushrooms,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Spinach Pecan Bacon & Cran Salad,1/2 Cup,contains_nuts
2026-01-10,Carrillo,Dinner,Uncategorized,Pasta Carbonara,3/4 Cup,
2026-01-10,Carrillo,Dinner,Uncategorized,Whole Wheat Spaghetti,1/3 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Garden Vegetable Marinara,3 oz Ladle,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Baked Potato,Potato,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Baked Sweet Potato,Potato,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Black Beans,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Brown Rice,1/2 Cup,vegan
2026-01-10,Carrillo,Dinner,Uncategorized,Thai Chicken Curry Pizza,Slice,
2026-01-10,Carrillo,Dinner,Uncategorized,Cheese Pizza on White,Slice,vegetarian
2026-01-10,Carrillo,Dinner,Uncategorized,Mushroom Pizza on Wheat,Slice,vegetarian
2026-01-10,Carrillo,Dinner,Uncategorized,Pizza Bread,Round,vegetarian
2026-01-10,Carrillo,Dinner,Uncategorized,Chocolate Chip Cake Kahlua,Slice,vegetarian
2026-01-10,De La Guerra,Dinner,Uncategorized,Cream of Tomato Soup,6 oz Ladle,vegetarian
2026-01-10,De La Guerra,Dinner,Uncategorized,Lemon Chicken Quarter,Quarter,
2026-01-10,De La Guerra,Dinner,Uncategorized,Rice Pilaf,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Fresh Broccoli Spears,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Baked Potato,Potato,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Chicken Bean & Rice Burrito,Burrito,
2026-01-10,De La Guerra,Dinner,Uncategorized,Vegetable Soft Taco,Taco,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Spanish Rice,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Refried Beans,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Flour Tortilla,Tortilla,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Corn Tortilla,Tortilla,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Wheat Tortilla,Tortilla,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Roasted Tomato and Chile Salsa,1 oz Ladle,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Pepperoni Pizza,Slice,
2026-01-10,De La Guerra,Dinner,Uncategorized,Cheese Pizza on Wheat Crust,Slice,vegetarian
2026-01-10,De La Guerra,Dinner,Uncategorized,Herb Breadsticks,Slice,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Meat Sauce,3 oz Ladle,
2026-01-10,De La Guerra,Dinner,Uncategorized,Spaghetti Pasta,1/3 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Herb Spirals w/Olive Oil and Garlic (vgn,1/2 Cup,
2026-01-10,De La Guerra,Dinner,Uncategorized,Long Grain Rice,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Brown Rice,1/2 Cup,vegan
2026-01-10,De La Guerra,Dinner,Uncategorized,Caesar Salad,1/2 Cup,vegetarian
2026-01-10,De La Guerra,Dinner,Uncategorized,Pizza Bread,Slice,vegetarian
2026-01-10,De La Guerra,Dinner,Uncategorized,French Peach Crumb Pie,Slice,vegan
2026-01-10,Portola,Dinner,Uncategorized,Baked Potato,Potato,vegan
2026-01-10,Portola,Dinner,Uncategorized,Jasmine Rice,1/2 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Chicken White Bean Chili,6 oz Ladle,
2026-01-10,Portola,Dinner,Uncategorized,Grilled BBQ Chicken Pizza,Slice,
2026-01-10,Portola,Dinner,Uncategorized,Pasta Primavera w/Tomato Sauce,3/4 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Roasted Chicken & Zucchini Marinara,3 oz Ladle,
2026-01-10,Portola,Dinner,Uncategorized,Farfalle Pasta,1/3 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Apple Crisp,Piece,vegan
2026-01-10,Portola,Dinner,Uncategorized,Pesto Bread,Slice,vegetarian
2026-01-10,Portola,Dinner,Uncategorized,Roast Pork Loin with Spiced Apples,3 oz,
2026-01-10,Portola,Dinner,Uncategorized,Garlic Red Mashed Potato,5 OZ,vegetarian
2026-01-10,Portola,Dinner,Uncategorized,Fresh Tomato Quiche,Slice,vegetarian
2026-01-10,Portola,Dinner,Uncategorized,Steamed Broccoli & Cauliflower,1/2 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Black Beans,1/2 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Thai Chicken Taco,Taco,
2026-01-10,Portola,Dinner,Uncategorized,Papaya Cilantro Lime Salsa,1 oz Ladle,vegan
2026-01-10,Portola,Dinner,Uncategorized,Chile Salsa,Ounce,vegan
2026-01-10,Portola,Dinner,Uncategorized,Ten Spice Fried Rice,4 oz,vegan
2026-01-10,Portola,Dinner,Uncategorized,Sauteed Cabbage & Carrots,1/2 Cup,vegan
2026-01-10,Portola,Dinner,Uncategorized,Calamari Roll,3 Pieces,
2026-01-10,Portola,Dinner,Uncategorized,Vegetable Roll,3 Pieces,vegan
